country,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,total_vaccinations_per_hundred,total_cases,total_deaths
Europe,2020-01-04,0.0,0.0,0.0,2.0,0.0
Europe,2020-01-05,0.0,0.0,0.0,1.0,3.0
Europe,2020-01-06,0.0,0.0,0.0,1.0,3.0
Europe,2020-01-07,0.0,0.0,0.0,1.0,3.0
Europe,2020-01-08,0.0,0.0,0.0,2.0,3.0
Europe,2020-01-09,0.00066853396,0.00066853396,0.0,2.0,3.0
Europe,2020-01-10,0.0005730291,0.0005730291,0.0,2.0,3.0
Europe,2020-01-11,0.0001910097,0.0005730291,0.0,2.0,3.0
Europe,2020-01-12,0.0001910097,0.0,0.0,2.0,3.0
Europe,2020-01-13,0.0001910097,0.0,0.0,2.0,3.0
Europe,2020-01-14,0.0001910097,0.0,0.0,2.0,3.0
Europe,2020-01-15,0.0,0.0,0.0,2.0,3.0
Europe,2020-01-16,0.0,0.0,0.0,2.0,3.0
Europe,2020-01-17,0.0,0.0,0.0,2.0,3.0
Europe,2020-01-18,0.0,0.0,0.0,2.0,3.0
Europe,2020-01-19,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-20,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-21,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-22,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-23,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-24,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-25,0.0003820194,0.0,0.0,4.0,3.0
Europe,2020-01-26,0.0009550485,0.0005730291,0.0,9.0,6.0
Europe,2020-01-27,0.0009550485,0.0005730291,0.0,9.0,6.0
Europe,2020-01-28,0.0009550485,0.0005730291,0.0,9.0,6.0
Europe,2020-01-29,0.0009550485,0.0005730291,0.0,9.0,6.0
Europe,2020-01-30,0.0011460582,0.0005730291,0.0,10.0,6.0
Europe,2020-01-31,0.0017190874,0.0005730291,0.0,13.0,6.0
Europe,2020-02-01,0.0022921164,0.0007640388,0.0,16.0,7.0
Europe,2020-02-02,0.0040112035,0.0007640388,0.0,30.0,10.0
Europe,2020-02-03,0.0040112035,0.0007640388,0.0,30.0,10.0
Europe,2020-02-04,0.0042022136,0.0009550485,0.0,31.0,11.0
Europe,2020-02-05,0.008022407,0.0009550485,0.0,51.0,11.0
Europe,2020-02-06,0.0078313975,0.0009550485,0.0,51.0,11.0
Europe,2020-02-07,0.0074493783,0.0009550485,0.0,52.0,11.0
